trial,fase,a_letter_1,a_letter_2,a_letter_3,a_letter_4,a_quad_1,a_quad_2,a_quad_3,a_quad_4,b_op_1,b_op_2,b_op_3,b_op_4,b_correct_1,b_correct_2,b_correct_3,b_correct_4,c_letter_1,c_letter_2,c_letter_3,c_letter_4,c_quad_1,c_quad_2,c_quad_3,c_quad_4,c_correct_1,c_correct_2,c_correct_3,c_correct_4,stageA_img_1,stageA_img_2,stageA_img_3,stageA_img_4,stageB_img_1,stageB_img_2,stageB_img_3,stageB_img_4,stageC_img_1,stageC_img_2,stageC_img_3,stageC_img_4
fase1_practica_01,1,N,C,B,P,BL,TL,BR,TR,8 + 2 = 10,2 + 3 = 4,5 + 2 = 6,8 + 5 = 13,True,False,False,True,B,P,N,C,TL,BR,BL,TR,False,False,True,False,prac_f1_01_stageA_1.png,prac_f1_01_stageA_2.png,prac_f1_01_stageA_3.png,prac_f1_01_stageA_4.png,prac_f1_01_stageB_1.png,prac_f1_01_stageB_2.png,prac_f1_01_stageB_3.png,prac_f1_01_stageB_4.png,prac_f1_01_stageC_1.png,prac_f1_01_stageC_2.png,prac_f1_01_stageC_3.png,prac_f1_01_stageC_4.png
fase1_practica_02,1,C,T,J,S,BL,TR,BR,TL,8 + 3 = 11,6 + 7 = 13,5 + 3 = 6,5 + 6 = 9,True,True,False,False,C,J,T,S,BL,TL,BR,TR,True,False,False,False,prac_f1_02_stageA_1.png,prac_f1_02_stageA_2.png,prac_f1_02_stageA_3.png,prac_f1_02_stageA_4.png,prac_f1_02_stageB_1.png,prac_f1_02_stageB_2.png,prac_f1_02_stageB_3.png,prac_f1_02_stageB_4.png,prac_f1_02_stageC_1.png,prac_f1_02_stageC_2.png,prac_f1_02_stageC_3.png,prac_f1_02_stageC_4.png
