trial,fase,a_acr_1,a_acr_2,a_acr_3,a_acr_4,a_quad_1,a_quad_2,a_quad_3,a_quad_4,b1_acr1,b1_acr2,b1_asg1,b1_asg2,b1_quad1,b1_quad2,b1_ret1,b1_ret2,b2_acr1,b2_acr2,b2_asg1,b2_asg2,b2_quad1,b2_quad2,b2_ret1,b2_ret2,correct_b1,correct_b2,stageA_img_1,stageA_img_2,stageA_img_3,stageA_img_4,stageB_img_1,stageB_img_2,stageC_img_P,stageC_img_Q,stageC_img_PQ
fase2_practica_01,2,ROE,TCFD,WACC,AUM,TR,BL,BR,TL,SASB,PRI,8.0,2.0,TR,BL,30.0,-20.0,P/E,SFDR,9.0,2.0,BR,BL,0.0,-10.0,True,False,prac_f2_01_stageA_1.png,prac_f2_01_stageA_2.png,prac_f2_01_stageA_3.png,prac_f2_01_stageA_4.png,prac_f2_01_stageB_1.png,prac_f2_01_stageB_2.png,prac_f2_01_stageC_P.png,prac_f2_01_stageC_Q.png,prac_f2_01_stageC_PQ.png
fase2_practica_02,2,P/E,IRR,SRI,GRI,TL,BR,BL,TR,GHG,SDG,1.0,5.0,TL,BL,80.0,0.0,NPV,YTD,8.0,5.0,TR,TL,40.0,70.0,True,False,prac_f2_02_stageA_1.png,prac_f2_02_stageA_2.png,prac_f2_02_stageA_3.png,prac_f2_02_stageA_4.png,prac_f2_02_stageB_1.png,prac_f2_02_stageB_2.png,prac_f2_02_stageC_P.png,prac_f2_02_stageC_Q.png,prac_f2_02_stageC_PQ.png
